City,State,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,Congressional District
Aurora,Illinois,41.747452,-88.238622,1,place,,,Aurora,IL,DuPage County,60504,US,TIGER/Line® dataset from the US Census Bureau,IL11
Carbondale,Illinois,37.739004,-89.209109,1,place,,,Carbondale,IL,Jackson County,62901,US,TIGER/Line® dataset from the US Census Bureau,IL12
Champaign,Illinois,40.10789,-88.244266,1,place,,,Champaign,IL,Champaign County,61820,US,TIGER/Line® dataset from the US Census Bureau,IL13
Chicago,Illinois,41.88531,-87.62213,1,place,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau,IL7
Cicero,Illinois,41.838036,-87.75987,1,place,,,Cicero,IL,Cook County,60804,US,TIGER/Line® dataset from the US Census Bureau,IL4
Danville,Illinois,40.136234,-87.636466,1,place,,,Danville,IL,Vermilion County,61832,US,TIGER/Line® dataset from the US Census Bureau,IL15
Decatur,Illinois,39.839477,-88.946486,1,place,,,Decatur,IL,Macon County,62521,US,TIGER/Line® dataset from the US Census Bureau,IL13
East St. Louis,Illinois,38.644405,-90.140016,1,place,,,East Saint Louis,IL,St. Clair County,62201,US,TIGER/Line® dataset from the US Census Bureau,IL12
Elgin,Illinois,42.034492,-88.238396,1,place,,,Elgin,IL,Kane County,60120,US,TIGER/Line® dataset from the US Census Bureau,IL8
Joliet,Illinois,41.509668,-88.180211,1,place,,,Joliet,IL,Will County,60431,US,TIGER/Line® dataset from the US Census Bureau,IL11
Moline,Illinois,41.482387,-90.493492,1,place,,,Moline,IL,Rock Island County,61265,US,TIGER/Line® dataset from the US Census Bureau,IL17
Oak Park,Illinois,41.888545,-87.798933,1,place,,,Oak Park,IL,Cook County,60301,US,TIGER/Line® dataset from the US Census Bureau,IL7
Peoria,Illinois,40.693137,-89.589847,1,place,,,Peoria,IL,Peoria County,61601,US,TIGER/Line® dataset from the US Census Bureau,IL17
Rockford,Illinois,42.33342,-89.157198,1,place,,,Rockford,IL,Winnebago County,61101,US,TIGER/Line® dataset from the US Census Bureau,IL16
Urbana,Illinois,40.108966,-88.211024,1,place,,,Urbana,IL,Champaign County,61801,US,TIGER/Line® dataset from the US Census Bureau,IL13
Biloxi,Mississippi,30.409826,-88.880304,1,place,,,Biloxi,MS,Harrison County,39530,US,TIGER/Line® dataset from the US Census Bureau,MS4
Brandon,Mississippi,32.300019,-89.938693,1,place,,,Brandon,MS,Rankin County,39042,US,TIGER/Line® dataset from the US Census Bureau,MS3
Clarksdale,Mississippi,34.256003,-90.634809,1,place,,,Clarksdale,MS,Coahoma County,38614,US,TIGER/Line® dataset from the US Census Bureau,MS2
Clinton,Mississippi,32.370736,-90.312371,1,place,,,Clinton,MS,Hinds County,39056,US,TIGER/Line® dataset from the US Census Bureau,MS2
Greenville,Mississippi,33.314539,-91.02297,1,place,,,Greenville,MS,Washington County,38701,US,TIGER/Line® dataset from the US Census Bureau,MS2
Greenwood,Mississippi,33.550408,-90.224856,1,place,,,Greenwood,MS,Leflore County,38930,US,TIGER/Line® dataset from the US Census Bureau,MS2
Gulfport,Mississippi,30.382966,-89.102426,1,place,,,Gulfport,MS,Harrison County,39501,US,TIGER/Line® dataset from the US Census Bureau,MS4
Horn Lake,Mississippi,34.950609,-90.03355,1,place,,,Horn Lake,MS,DeSoto County,38637,US,TIGER/Line® dataset from the US Census Bureau,MS1
Jackson,Mississippi,32.289656,-90.184201,1,place,,,Jackson,MS,Hinds County,39201,US,TIGER/Line® dataset from the US Census Bureau,MS3
Meridian,Mississippi,32.381605,-88.663489,1,place,,,Meridian,MS,Lauderdale County,39301,US,TIGER/Line® dataset from the US Census Bureau,MS3
Natchez,Mississippi,31.527752,-91.307025,1,place,,,Natchez,MS,Adams County,39120,US,TIGER/Line® dataset from the US Census Bureau,MS3
Olive Branch,Mississippi,34.921172,-89.869062,1,place,,,Olive Branch,MS,DeSoto County,38654,US,TIGER/Line® dataset from the US Census Bureau,MS1
Pascagoula,Mississippi,30.365446,-88.540115,1,place,,,Pascagoula,MS,Jackson County,39567,US,TIGER/Line® dataset from the US Census Bureau,MS4
Ridgeland,Mississippi,32.436064,-90.13731,1,place,,,Ridgeland,MS,Madison County,39157,US,TIGER/Line® dataset from the US Census Bureau,MS3
Southhaven,Mississippi,34.956633,-89.99624,1,place,,,Southaven,MS,DeSoto County,38671,US,TIGER/Line® dataset from the US Census Bureau,MS1
Starkville,Mississippi,33.42554,-88.879117,1,place,,,Starkville,MS,Oktibbeha County,39759,US,TIGER/Line® dataset from the US Census Bureau,MS3
Vicksburg,Mississippi,32.339533,-90.834407,1,place,,,Vicksburg,MS,Warren County,39180,US,TIGER/Line® dataset from the US Census Bureau,MS2
Artesia,New Mexico,32.771797,-104.219669,1,place,,,Artesia,NM,Eddy County,88210,US,TIGER/Line® dataset from the US Census Bureau,NM2
Elephant Butte,New Mexico,33.208962,-107.221209,1,place,,,Elephant Butte,NM,Sierra County,87935,US,TIGER/Line® dataset from the US Census Bureau,NM2
Espanola,New Mexico,35.993867,-106.088977,1,place,,,Espanola,NM,Rio Arriba County,87532,US,TIGER/Line® dataset from the US Census Bureau,NM3
Las Cruces,New Mexico,32.290052,-106.753893,1,place,,,Las Cruces,NM,Doa Ana County,88001,US,TIGER/Line® dataset from the US Census Bureau,NM2
Los Alamos,New Mexico,35.849514,-106.288482,1,place,,,Los Alamos,NM,Los Alamos County,87544,US,TIGER/Line® dataset from the US Census Bureau,NM3
Los Lunas,New Mexico,34.76577,-106.712287,1,place,,,Los Lunas,NM,Valencia County,87031,US,TIGER/Line® dataset from the US Census Bureau,NM2
Mesilla,New Mexico,32.267993,-106.805867,1,place,,,Mesilla,NM,Doa Ana County,88046,US,TIGER/Line® dataset from the US Census Bureau,NM2
Rio Rancho,New Mexico,35.268498,-106.783682,1,place,,,Rio Rancho,NM,Sandoval County,87124,US,TIGER/Line® dataset from the US Census Bureau,NM3
Santa Fe,New Mexico,35.697473,-105.982146,1,place,,,Santa Fe,NM,Santa Fe County,87501,US,TIGER/Line® dataset from the US Census Bureau,NM3
Silver City,New Mexico,32.853738,-108.330764,1,place,,,Silver City,NM,Grant County,88061,US,TIGER/Line® dataset from the US Census Bureau,NM2
Charleston,South Carolina,32.780326,-79.940844,1,place,,,Charleston,SC,Charleston County,29401,US,TIGER/Line® dataset from the US Census Bureau,SC1
Columbia,South Carolina,33.987454,-81.024864,1,place,,,Columbia,SC,Richland County,29201,US,TIGER/Line® dataset from the US Census Bureau,SC6
Goose Creek,South Carolina,33.057972,-80.010088,1,place,,,Goose Creek,SC,Berkeley County,29445,US,TIGER/Line® dataset from the US Census Bureau,SC6
Greenville,South Carolina,34.848567,-82.402871,1,place,,,Greenville,SC,Greenville County,29601,US,TIGER/Line® dataset from the US Census Bureau,SC4
Hilton Head,South Carolina,32.21319,-80.799698,0.33,place,,,Hilton Head Island,SC,Beaufort County,29925,US,TIGER/Line® dataset from the US Census Bureau,SC1
Mount Pleasant,South Carolina,32.847273,-79.820563,1,place,,,Mount Pleasant,SC,Charleston County,29464,US,TIGER/Line® dataset from the US Census Bureau,SC1
North Charleston,South Carolina,32.853019,-79.991295,1,place,,,North Charleston,SC,Charleston County,29405,US,TIGER/Line® dataset from the US Census Bureau,SC6
Rock Hill,South Carolina,34.909109,-81.052437,1,place,,,Rock Hill,SC,York County,29730,US,TIGER/Line® dataset from the US Census Bureau,SC5
Summerville,South Carolina,33.051384,-80.18854,1,place,,,Summerville,SC,Dorchester County,29483,US,TIGER/Line® dataset from the US Census Bureau,SC1
Sumter,South Carolina,33.913678,-80.354238,1,place,,,Sumter,SC,Sumter County,29150,US,TIGER/Line® dataset from the US Census Bureau,SC5
Altoona,Wisconsin,44.803612,-91.442253,1,place,,,Altoona,WI,Eau Claire County,54720,US,TIGER/Line® dataset from the US Census Bureau,WI3
Glendale,Wisconsin,43.135288,-87.935642,0.8,place,,,Glendale,WI,Milwaukee County,53209,US,TIGER/Line® dataset from the US Census Bureau,WI4
Mequon,Wisconsin,43.242049,-88.009823,1,place,,,Mequon,WI,Ozaukee County,53097,US,TIGER/Line® dataset from the US Census Bureau,WI6
Racine,Wisconsin,42.727153,-87.675979,1,place,,,Racine,WI,Racine County,53401,US,TIGER/Line® dataset from the US Census Bureau,WI1
Shorewood,Wisconsin,43.089179,-87.887585,0.9,place,,,Shorewood,WI,Milwaukee County,53211,US,TIGER/Line® dataset from the US Census Bureau,WI4
Superior,Wisconsin,46.574982,-92.117578,1,place,,,Superior,WI,Douglas County,54880,US,TIGER/Line® dataset from the US Census Bureau,WI7
Waukesha,Wisconsin,43.022155,-88.204676,1,place,,,Waukesha,WI,Waukesha County,53186,US,TIGER/Line® dataset from the US Census Bureau,WI5
