City,State,Organization,Status,MAP_STATUS,,
Sacramento County,California,"ACLU-NC, Legal Services of Northern California",,0,,
Aguilar,Colorado,ACLU-CO,GREEN-REPEALED!,4,,
Alma,Colorado,ACLU-CO,,0,,
Berthoud,Colorado,ACLU-CO,"Orange- reviewing the issue, no commitment yet",2,Orange,
Blue River,Colorado,ACLU-CO,GREEN-REPEALED!,4,Green,
Brush,Colorado,ACLU-CO,Yellow- in process of repealing,3,Yellow,
Central City,Colorado,ACLU-CO,"Orange- reviewing the issue, no commitment yet",2,Orange,
Columbine Valley,Colorado,ACLU-CO,"Orange- reviewing the issue, no commitment yet, moratorium on enforcement",2,Orange,
Commerce City,Colorado,ACLU-CO,Yellow- in process of repealing,3,Yellow,
De Beque,Colorado,ACLU-CO,Yellow- in process of repealing,3,Yellow,
Del Norte,Colorado,ACLU-CO,Orange- will review loitering ordinances and propose repealing/amending ordinances for Town Board’s consideration,2,Orange,
Edgewater,Colorado,ACLU-CO,,0,,
Estes Park,Colorado,ACLU-CO,Yellow- in process of repealing,3,Yellow,
Fairplay,Colorado,ACLU-CO,GREEN-REPEALED!,4,Green,
Frederick,Colorado,ACLU-CO,Yellow- will repeal ordinance and has instructed police to cease enforcement,3,Yellow,
Garden City,Colorado,ACLU-CO,GREEN-REPEALED!,4,Green,
Granby,Colorado,ACLU-CO,Green- loitering ordinance repealed,4,Green,
Idaho Springs,Colorado,ACLU-CO,,0,,
Julesburg,Colorado,ACLU-CO,Yellow- in process of repealing,3,Yellow,
La Jara,Colorado,ACLU-CO,Yellow- in process of repealing,3,Yellow,
Mancos,Colorado,ACLU-CO,GREEN-REPEALED!,4,Green,
New Castle,Colorado,ACLU-CO,Yellow- will take measures to repeal portions of the ordinance; no enforcement will occur,3,Yellow,
Ouray,Colorado,ACLU-CO,"Yellow- moratorium while they consider repeal/replacement,working on a revision to panhandling ordinance and will present to city council in October ",3,Yellow,
Palisade,Colorado,ACLU-CO,Yellow- Plans to repeal ordinance and currently going through town process; no enforcement will occur,3,Yellow,
Paonia,Colorado,ACLU-CO,Yellow -Moratorium pending repeal,3,Yellow,
Pierce,Colorado,ACLU-CO,Yellow- in process of repealing,3,Yellow,
Rangley,Colorado,ACLU-CO,Yellow- in process of repealing,3,Yellow,
Timnath,Colorado,ACLU-CO,Yellow- in process of repealing,3,Yellow,
Victor,Colorado,ACLU-CO,Yellow- in process of repealing,3,Yellow,
Wellington,Colorado,ACLU-CO,GREEN-REPEALED!,4,Green,
Windsor,Colorado,ACLU-CO,Yellow- working to repeal municipal code including ordinance; no enforcement will occur,3,Yellow,
Wray,Colorado,ACLU-CO,Green- repealed loitering ordinances,4,Green,
Yuma ,Colorado,ACLU-CO,Yellow- in process of repealing,3,Yellow,
Alachua County,Florida,"Southern Legal Counsel, ACLU-FL Florida Legal Services, Florid Housing Umbrella Group, National Lawyers Guild South Florida Chapter",,0,,
Fort Lauderdale,Florida,"Southern Legal Counsel, ACLU-FL Florida Legal Services, Florid Housing Umbrella Group, National Lawyers Guild South Florida Chapter",,0,,
Hollywood,Florida,"Southern Legal Counsel, ACLU-FL Florida Legal Services, Florid Housing Umbrella Group, National Lawyers Guild South Florida Chapter",,0,,
