City,State,MAP_STATUS,,
Aurora,Illinois,0,,
Carbondale,Illinois,0,,Please put the color's number in the MAP_STATUS column as follows:
Champaign,Illinois,0,,
Chicago,Illinois,0,,Red = 0
Cicero,Illinois,0,,Pink = 1
Danville,Illinois,0,,Orange = 2
Decatur,Illinois,0,,Yellow = 3
East St. Louis,Illinois,0,,Green = 4
Elgin,Illinois,0,,
Joliet,Illinois,0,,
Moline,Illinois,0,,
Oak Park,Illinois,0,,
Peoria,Illinois,4,Green,
Rockford,Illinois,0,,
Urbana,Illinois,0,,
Biloxi,Mississippi,1,Pink,
Brandon,Mississippi,0,,
Clarksdale,Mississippi,0,,
Clinton,Mississippi,0,,
Greenville,Mississippi,2,Orange,
Greenwood,Mississippi,0,,
Gulfport,Mississippi,0,,
Horn Lake,Mississippi,0,,
Jackson,Mississippi,0,,
Meridian,Mississippi,0,,
Natchez,Mississippi,0,,
Olive Branch,Mississippi,0,,
Pascagoula,Mississippi,0,,
Ridgeland,Mississippi,0,,
Southhaven,Mississippi,0,,
Starkville,Mississippi,2,Orange,
Vicksburg,Mississippi,2,Orange,
Artesia,New Mexico,0,,
Elephant Butte,New Mexico,0,,
Espanola,New Mexico,0,,
Las Cruces,New Mexico,0,,
Los Alamos,New Mexico,3,Yellow,
Los Lunas,New Mexico,3,Yellow,
Mesilla,New Mexico,0,,
Rio Rancho,New Mexico,0,,
Santa Fe,New Mexico,0,,
Silver City,New Mexico,0,,
Charleston,South Carolina,0,,
Columbia,South Carolina,0,,
Goose Creek,South Carolina,0,,
Greenville,South Carolina,0,,
Hilton Head,South Carolina,0,,
Mount Pleasant,South Carolina,0,,
North Charleston,South Carolina,0,,
Rock Hill,South Carolina,0,,
Summerville,South Carolina,0,,
Sumter,South Carolina,0,,
Altoona,Wisconsin,0,,
Glendale,Wisconsin,0,,
Mequon,Wisconsin,0,,
Racine,Wisconsin,0,,
Shorewood,Wisconsin,0,,
Superior,Wisconsin,0,,
Waukesha,Wisconsin,0,,
Wauwatosa,Wisconsin,0,,
Aguilar,Colorado,0,,
Alma,Colorado,0,,
Berthoud,Colorado,0,,
Blue River,Colorado,4,Green,
Brush,Colorado,2,Orange,
Central City,Colorado,0,,
Columbine Valley,Colorado,0,,
Commerce City,Colorado,0,,
De Beque,Colorado,0,,
Del Norte,Colorado,0,,
Edgewater,Colorado,0,,
Estes Park,Colorado,0,,
Fairplay,Colorado,0,,
Frederick,Colorado,0,,
Garden City,Colorado,2,Orange,
Granby,Colorado,0,,
Idaho Springs,Colorado,0,,
Julesburg,Colorado,2,Orange,
La Jara,Colorado,2,Orange,
Mancos,Colorado,0,,
New Castle,Colorado,0,,
Ouray,Colorado,0,,
Palisade,Colorado,0,,
Paonia,Colorado,3,Yellow,
Pierce,Colorado,2,Orange,
Rangley,Colorado,2,Orange,
Timnath,Colorado,0,,
Victor,Colorado,2,Orange,
Wellington,Colorado,0,,
Windsor,Colorado,0,,
Wray,Colorado,0,,
Yuma ,Colorado,2,Orange,
Alachua County,Florida,0,,
Fort Lauderdale,Florida,0,,
Hollywood,Florida,0,,
Lake Worth,Florida,0,,
Miami Beach,Florida,0,,
Ocala,Florida,0,,
Polk County,Florida,0,,
St. Petersburg,Florida,0,,
Barre,Vermont,0,,
Bennington,Vermont,0,,
Brattleboro,Vermont,0,,
Montpelier,Vermont,0,,
Rutland Town,Vermont,0,,
Winooski,Vermont,0,,
Council Bluffs,Iowa,0,,
Des Moines,Iowa,0,,
Grimes,Iowa,0,,
Adams,Oregon,0,,
Albany,Oregon,0,,
Ashland,Oregon,0,,
Bandon,Oregon,0,,
Banks,Oregon,0,,
Bay City,Oregon,0,,
Brookings,Oregon,0,,
Carlton,Oregon,0,,
Cave Junction,Oregon,0,,
Central Point,Oregon,0,,
Chiloquin,Oregon,0,,
Columbia City,Oregon,0,,
Coos Bay,Oregon,0,,
Corvallis,Oregon,0,,
Cottage Grove,Oregon,0,,
Culver,Oregon,0,,
Dallas,Oregon,0,,
Enterprise,Oregon,0,,
Garibaldi,Oregon,0,,
Gold Beach,Oregon,0,,
Grants Pass,Oregon,0,,
Happy Valley,Oregon,0,,
Harrisburg,Oregon,0,,
Hubbard,Oregon,0,,
Jacksonville,Oregon,0,,
Jefferson,Oregon,0,,
Junction City,Oregon,0,,
Klamath Falls,Oregon,0,,
Lafayette,Oregon,0,,
Lake Oswego,Oregon,0,,
Lebanon,Oregon,0,,
Lincoln City,Oregon,0,,
Malin,Oregon,0,,
Manzanita,Oregon,0,,
Medford,Oregon,0,,
Mill City,Oregon,0,,
Milton-Freewater,Oregon,0,,
Newberg,Oregon,0,,
North Bend,Oregon,0,,
Nyssa,Oregon,0,,
Pendleton,Oregon,0,,
Philomath,Oregon,0,,
Phoenix,Oregon,0,,
Pilot Rock,Oregon,0,,
Prineville,Oregon,0,,
Rainier,Oregon,0,,
Rogue River,Oregon,0,,
Roseburg,Oregon,0,,
Seaside,Oregon,0,,
Sheridan,Oregon,0,,
Silverton,Oregon,0,,
Springfield,Oregon,0,,
Stayton,Oregon,0,,
Sutherlin,Oregon,0,,
Umatilla (city),Oregon,0,,
Union (city),Oregon,0,,
Waldport,Oregon,0,,
Warrenton,Oregon,0,,
Willamina,Oregon,0,,
Wilsonville,Oregon,0,,
Sacramento County,California,0,,
Aurora,Ohio,0,,
Beavercreek,Ohio,0,,
Bexley,Ohio,0,,
Brooklyn,Ohio,0,,
Brooklyn Heights,Ohio,0,,
Canal Fulton,Ohio,0,,
Canfield,Ohio,0,,
Canton,Ohio,0,,
Chagrin Falls,Ohio,0,,
Chardon,Ohio,0,,
Chillicothe,Ohio,0,,
"Cincinnati, Ohio",Ohio,0,,
Circleville,Ohio,0,,
Cortland,Ohio,0,,
Dalton,Ohio,0,,
Eastlake,Ohio,0,,
Euclid,Ohio,0,,
Fairborn,Ohio,0,,
Findlay,Ohio,0,,
Garfield Heights,Ohio,0,,
Grove City,Ohio,0,,
Hamilton County Parks,Ohio,0,,
Heath,Ohio,0,,
Hubbard,Ohio,0,,
Kent,Ohio,0,,
Lancaster,Ohio,0,,
Lexington,Ohio,0,,
Linndale,Ohio,0,,
Lorain,Ohio,0,,
Mansfield,Ohio,0,,
Massillon,Ohio,0,,
Medina,Ohio,0,,
Mentor,Ohio,0,,
Mentor on the lake,Ohio,0,,
Mt. Healthy,Ohio,0,,
Newark,Ohio,0,,
Newton Falls,Ohio,0,,
North Canton,Ohio,0,,
Norton,Ohio,0,,
Oberlin,Ohio,0,,
Obetz,Ohio,0,,
Ontario,Ohio,0,,
Piqua,Ohio,0,,
Reading,Ohio,0,,
Richmond Heights,Ohio,0,,
Rittman,Ohio,0,,
Salem,Ohio,0,,
Seven Hills,Ohio,0,,
Sidney,Ohio,0,,
Silverton,Ohio,0,,
South Euclid,Ohio,0,,
Springfield,Ohio,0,,
St Bernard,Ohio,0,,
Stow,Ohio,0,,
Summit County,Ohio,0,,
Tallmadge,Ohio,0,,
Troy,Ohio,0,,
Twinsburg,Ohio,0,,
Wapakoneta,Ohio,0,,
West Carrollton,Ohio,0,,
West Jefferson,Ohio,0,,
Westerville,Ohio,0,,
